album_id,album
30oyKmiKCKSbkBRWljEvpx,Boom Clap
7bCDE4ddc9T8Zkw588bN73,Love Me Again
7p1fX8aUySrBdx4WSYspOu,Midnight Memories (Deluxe)
2esSZWmdzMPyQsszbsX0rr,Sound Of A Woman
4gCNyS7pidfK3rKWhB3JOY,FOUR (Deluxe)
22F5ZYY1sxoJjk6HzZfmC1,Pink Friday: Roman Reloaded The Re-Up (Explicit Version)
355RqMyXhDoOD0l4qMUxeT,Whistle
1ImxhQBpfEQeM7bNh61Aqg,Lift Your Spirit
4X0NHS8CbsJVAMBxhSaHtD,Young And Beautiful
37uqAKt9dLsLob7yomDWY4,Magna Carta... Holy Grail
453l82SGKWDAlOpKkUSX1u,True Colors
59EGOnoDi3waRlmoCNa1MQ,Animals
4xkM0BwLM9H2IUcbYzpcBI,I Love You.
6yd9yk8nFcHalXzy7mgaDx,No Sound Without Silence
0dNtcQ9V2sXifWktjrspYP,Wild Ones (feat. Sia)
19dqa2yIehtaN4kBwpSEvP,Frozen (Original Motion Picture Soundtrack)
4HLTw1RgvSZkSLAc3pU9kU,Confident (Deluxe Edition)
5BvgP623rtvlc0HDcpzquz,Katy Perry - Teenage Dream: The Complete Confection
1WGjSVIw0TVfbp5KrOFiP0,Birdy
5uJpRBjDkTW8wtwDimhkdm,Babel (Deluxe Version)
5BAqg5IJQ7XFKfdoCiOlJw,I Don't Mind (feat. Juicy J)
2oKzsLJeOGZ5bMXDPuWCxe,Gangnam Style (강남스타일)
2buNSPalbxgT5kdFVYzfWG,Love In The Future (Special Edition)
7drqyneritbCAzwJ7I7hfZ,Don't Tell 'Em
3NkZqXMTPlFgbgvifgrhLN,For You
1C2h7mLntPSeVYciMRTF4a,Thriller 25 Super Deluxe Edition
3MVL172L0WhFYwG9wvEyFr,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)"
0z7Mr85v0hPSX0VOUxP51W,I Could Be The One [Avicii vs Nicky Romero]
64SChsjQBiEe3aVTFYnW1b,Love Is a Four Letter Word (Deluxe Edition)
3tFBQBuViTaeqWxA7GDmRF,Nirvana
2nXJkqkS1tIKIyhBcFMmwz,xx
6hPkbAV3ZXpGZBGUvL6jVM,Hybrid Theory (Bonus Edition)
0f2teAfQd97LzryrjUDXCL,"Save Me, San Francisco (Golden Gate Edition)"
03JboE7JdI2P2lZjzVFjUP,The Blueprint 3
2bfWH730j0HtAJrNcg1LuP,If You're Reading This It's Too Late
5PW8nAtvf2HV8RYZFd4IrX,Born To Die - The Paradise Edition
4IjfVRMzE8yNH84Q6UZSV6,Drive By
3pIrfgAYjBpTBBKgtrwKgZ,Shakira. (Deluxe Version)
1CwTQl3oL06qrjTithl9lB,#SELFIE
3yfisavFdGTrjFf9Ecpbio,Up From Below
1UsmQ3bpJTyK6ygoOOjG1r,Speakerboxxx/The Love Below
40XGTQ7FN6Y3dZXJhKBe96,The Pinkprint (International Deluxe Explicit)
4Dgxy95K9BWkDUvQPTaYBb,Where the Light Is: John Mayer Live In Los Angeles
2JLDMOX168DhnueBb946kw,"For Emma, Forever Ago"
0Md4nG83KbXRbscZjy4Hx8,Let The Road
7vN82vd1Vq44fjlhjfvHJp,Loud
63L3vuRRfaEIsQXsVsQ8oQ,Fight Song - EP
0gT5HL6RnvHBxJ2gY7lidR,Warrior (Deluxe Version)
4aUQP9kw5kVQyCcCiC2yVv,One Day / Reckoning Song (Wankelmut Remix)
63WdJvk8G9hxJn8u5rswNh,Take Care (Deluxe)
6ZG5lRT77aJ3btmArcykra,Parachutes
7HOzvP7Ta2lLueojdlJtdZ,An Awesome Wave
1uyf3l2d4XYwiEqAb7t7fX,Doo-Wops & Hooligans
3kaQUt8Mp906u1fI0LDqO6,The Original High (Deluxe Version)
0kJbDT8VGMScK8YDzNNvzV,In The Lonely Hour (Drowning Shadows Edition)
0D49RvtlLCKyxeDKDnBU2R,Sorry For Party Rocking
7gGcnUEEQgIMV2JRwVQbrF,Songs About Jane
6mm1Skz3JE6AXneya9Nyiv,Oracular Spectacular
5lNzygOpCmzRx4N301icBB,THE E.N.D. (THE ENERGY NEVER DIES) [International Version]
5jKMfS57mHTHzlSFGfPFxU,Save Rock And Roll
2TQZYFed2I2ajTSzwZV7ag,Changes
1xGEbkqzqiCcUTBbasvShI,One Love (Deluxe)
2sqwG0D7XQzXVHb3EpkUCX,0 To 100 / The Catch Up
4gx8XdiMsraOXGli7x5MS6,My Own Lane
7KkiEooAVT3EyqQMOl6Iah,Sigh No More
7eLwoxxWs6lfkVYJGkGNbk,Wild Ones
535qZk6ycJqQaa5qFPmq3k,ARTPOP
5h5XOo9ZoMhKA4uu0NXiD7,Born To Die
2gXTTQ713nCELgPOS0qWyt,Nothing Was The Same (Deluxe)
4v55njNe2owBsm6VuEiTLe,Old Thing Back (feat. Ja Rule and Ralph Tresvant)
6GKIr03B2yvdP0TkWiGJVV,5 Seconds Of Summer
4Gfnly5CzMJQqkUFfoHaP3,Meteora
4i9yM8JoAgeh6ekZjk08U1,Shot Me Down (feat. Skylar Grey)
7I4Vx91kradxSJNwg1ycbq,Global Warming (Deluxe Version)
4rG0MhkU6UojACJxkMHIXB,Planet Pit (Deluxe Version)
6cunQQ7YZisYOoiFu2ywIq,Up All Night
7iC7iQaeRrG33H6VInfl00,Clarity (Deluxe)
3pzQF7YgU1f66pBayA8uHv,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)
2YO1F9DHVEzXPriA1JHoOQ,19
5CIOnMZ40kYIV2Ye7aCDwF,Easy Love (Original Mix)
42UJjk8i8L0De7lQtu7sqi,Native
02pi98kE0nra0yBqCStzbC,+
61ulfFSmmxMhc2wCdmdMkN,Merry Christmas
0rRNLpdA8nA8Sm8Fk490b9,Elephant
2lkbTVYUYHXoXt17WXIAVc,The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack)
0C6m4LiyUwsLI0eK6kJyeh,Clarity
0oKmvkXNQvyd3fHVn4zF7u,Focus
0XTAmejG8F97wF5MWoVbaY,Yeezus
7cVXH4slEYzGjDh498OFyL,Me 4 U
4GRDFQ9HRoO0by8H0r2a3I,Late Registration
5csXMdS69VOvh8MjyfwkjB,2001 (Explicit Version)
30Perjew8HyGkdSmqguYyg,Blood Sugar Sex Magik (Deluxe Edition)
2XjPrtaAqvviEgSHCpzHmM,Smoke + Mirrors (Deluxe)
6LBiuhK7PZKjVXyMfPxPoh,My Beautiful Dark Twisted Fantasy
2Y9IRtehByVkegoD7TcLfi,Californication (Deluxe Edition)
5pLlGJrxuQO3jMoQe1XxZY,Unapologetic (Deluxe)
4DM34NuOlqu5S8PZAje4iF,Fetty Wap (Deluxe)
4Rt6psVqmhnvrZLEoHocb6,The Fame Monster (Explicit Version)
0UccZZgelTAbbk3OSPZymO,Greatest Hits Volume One - The Singles
1SrvubPy1Dg2BWJyTMcmgr,Prayer
73tAnNx5QNbVcCrpZQMf2i,Sun Is Shining
6heKMHyHa6R2jrsUaX7LWm,Intoxicated (Radio Edit)
6eHYEyGAO6phgXexCWV4Iw,"Flashlight (From ""Pitch Perfect 2"" Soundtrack)"
4qugvZbeFLghKN67aQ6PAb,My Love
6HnspnDTGO0iGliX6OuCTd,Here for You (feat. Ella Henderson)
7e4eCJT5ON1FpJD5Si341e,Don't Look Down (feat. Usher)
5ZsK5SUsZilbAJ4B0vRVxF,Intense
1kxDY7IJjRHX3dpQTvFUmS,BADLANDS (Deluxe)
6wDc63NhKy2PyXdbhkRmrl,These Things Happen
5ppnlEoj4HdRRdRihnY3jU,"Oral Fixation, Vol. 2 (Expanded Edition)"
67wzb7V0Ko4zjULNHX3INN,Free The Universe Deluxe
2pl9PVgr8QFKRGY0HY69GI,Blacc Hollywood (Deluxe)
5oWQ2uILvj5bAjeIjSYYc8,When We Were Young
6AXqxvuCq4UMmOB1r24mui,Bright Lights
5nkgosKhWt1yXRzmjXNV2d,Thank You (Deluxe)
1fF8kYX49s5Ufv4XEY5sjW,Enema Of The State
03n4EmWNweUARTWYtmlPqt,To Be Loved: The Best Of Papa Roach (Explicit Version)
