album_id,label
6a2c06GAsKigzV53VyzBXk,Atlantic Records
43v9cUsP5K0hvu9iyuAzmZ,Capitol
2JG7yt9ua7hKWsfVLQr90j,We The Best Music/Cash Money Records
6nNlTIiFd3J06W0rJiiwlz,Rhino Atlantic
3JyYXOBRAuc3XFQxFxrEcM,UMC (Universal Music Catalogue)
531c37GGv5IvddCvBv3sWT,Atlantic Records UK
6zgCsYTyMyvBLqcv51KLXS,Universal Music Mexico
5D8Rdb09BkmHscEGSWAlA6,EMI
63e4jpPrJzjGsTxM4QOOFb,Priority Records
0VKcOEVdDLf95KdHfBw9AR,EMI
2d9BCZeAAhiZWPpbX9aPCW,Rimas Entertainment LLC
18IaOJpyXfqbOsZIqmnfpZ,:):
3XpOIE22NDEl5VSguQGv2h,ICY/Artistry Records/Warner Records
5p3gSxNiXeYlPlztVAUjB2,Walt Disney Records
6JsZWQ0iaOn0GbirYWqwCi,Universal Music Mexico
5J3cTpJJ1EgXK8ZCEylSZO,Columbia/B1 Recordings
202FLmfHxcvLHPiqmAjWyJ,UMLE - Latino
0gkUcpkyW2SXN49Yktkf6F,Sony Music CG
1yM8iaMk4Slsqr94LabgN1,Sony Music Latin
2kZyqn4Cmr78D74K9TcO4K,"MSFTSMusic / Roc Nation Records, LLC"
3bncOq9bM24eCefxlJvrtK,Los Oidos Fresh/ Los Proximos
5vFQw6vOWYH9SaYVbSY9to,Asylum
7zeegKviS9AGeoEenSdO6I,Atlantic Records
1MWHKCowe1fS0A3LfRpEdK,Big Beat Records
3feYPmyPH7tqh1ZfsU0D0i,Epic Amsterdam
5W5oxg0Z2aFfbudPakSHqH,Atlantic Records UK
622NFw5Yk0OReMJ2XWcXUh,Columbia
6qi56zXbhq7PU5lvzWNXIO,Sony Music Labels Inc.
35LzZH7Fgog8lf1hfcdoMQ,Virgin Records
5e17MvJeEUfTQJ2Ygu6acn,Universal Music Spain S.L.
4MvvK8EhnsQTBSTJUyy9ZC,Zeitgeist
6MuWCR3WPjwyKhqsTKLZ3z,Atlantic Records
3wDPZbAEnzvMY6mlySimUY,Hoodie Allen
3RG65TH0L4E9jtJoj5JpMQ,UMLE - Latino
6ziRoYI3rWu4TOAUeIJuNO,UMLE - Fonovisa
7ayBZIe1FHkNv0T5xFCX6F,Atlantic Records
